Stockname,Date,Open,High,Low,Close,Adj Close,Volume,Returns
DAX,01/02/2018,13235.15039,13301.41016,12971.78027,13003.90039,13003.90039,122880100,2.3125
DAX,02/02/2018,12954.58984,12954.58984,12782.07031,12785.16016,12785.16016,140869300,1.694296875
DAX,05/02/2018,12687.79004,12752.59961,12622.44043,12687.49023,12687.49023,113937900,0.002998047
DAX,06/02/2018,12232.86035,12550.16016,12232.86035,12392.66016,12392.66016,204856800,-1.597998047
DAX,07/02/2018,12478.67969,12651.28027,12414.83984,12590.42969,12590.42969,153471100,-1.1175
DAX,08/02/2018,12506.17969,12541.32031,12187.4502,12260.29004,12260.29004,153991900,2.458896484
DAX,09/02/2018,12263.09961,12296.17969,12003.36035,12107.48047,12107.48047,175812900,1.556191406
DAX,12/02/2018,12238.62988,12379.16016,12222.33984,12282.76953,12282.76953,120024900,-0.441396484
DAX,13/02/2018,12282.75977,12300.62988,12196.21973,12196.5,12196.5,94601100,0.862597656
DAX,14/02/2018,12294.84961,12393.70996,12075.20996,12339.16016,12339.16016,130713000,-0.443105469
DAX,15/02/2018,12425.4502,12479.96973,12275.04004,12346.16992,12346.16992,111934900,0.792802734
DAX,16/02/2018,12408.48047,12484.12012,12368.70996,12451.95996,12451.95996,104230500,-0.434794922
DAX,19/02/2018,12495.07031,12505.49023,12361.86035,12385.59961,12385.59961,66917000,1.094707031
DAX,20/02/2018,12403.62988,12496.09961,12333.79004,12487.90039,12487.90039,87127600,-0.842705078
DAX,21/02/2018,12457.21973,12474.37012,12372.25977,12470.49023,12470.49023,83382600,-0.132705078
DAX,22/02/2018,12358.82031,12497.70996,12283.7002,12461.91016,12461.91016,104173000,-1.030898438
DAX,23/02/2018,12491.76953,12513.32031,12431.94043,12483.79004,12483.79004,97926500,0.079794922
DAX,26/02/2018,12566.0498,12601.45996,12484.58984,12527.04004,12527.04004,78303000,0.390097656
DAX,27/02/2018,12573.65039,12577.55957,12436.12988,12490.73047,12490.73047,89864600,0.829199219
DAX,28/02/2018,12427.45996,12516.91992,12417.95996,12435.84961,12435.84961,93391300,-0.083896484
DAX,01/03/2018,12386.40039,12387.87988,12143.13965,12190.94043,12190.94043,113680600,1.954599609
DAX,02/03/2018,12051.88965,12081.40039,11877.66016,11913.70996,11913.70996,120480800,1.381796875
DAX,05/03/2018,11831.57031,12110.17969,11830.98047,12090.87012,12090.87012,109920600,-2.592998047
DAX,06/03/2018,12229.29004,12259.58008,12110.33984,12113.87012,12113.87012,104517000,1.154199219
DAX,07/03/2018,12060.08984,12275.69043,12020.61035,12245.36035,12245.36035,92920300,-1.852705078
DAX,08/03/2018,12237.94043,12382.69043,12177.12012,12355.57031,12355.57031,97759800,-1.176298828
DAX,09/03/2018,12331.63965,12407.98047,12284.57031,12346.67969,12346.67969,96109700,-0.150400391
DAX,12/03/2018,12453.2998,12454.95996,12361.00977,12418.38965,12418.38965,136801400,0.349101563
DAX,13/03/2018,12425.69043,12459.90039,12162.46973,12221.03027,12221.03027,131887900,2.046601563
DAX,14/03/2018,12212.49023,12322.88965,12202.75977,12237.74023,12237.74023,104202200,-0.2525
DAX,15/03/2018,12284.13965,12378.38965,12239.95996,12345.55957,12345.55957,106658200,-0.614199219
DAX,16/03/2018,12345.55957,12454.01953,12337.62012,12389.58008,12389.58008,212840100,-0.440205078
DAX,19/03/2018,12346.50977,12369.76953,12183.79004,12217.01953,12217.01953,97309700,1.294902344
DAX,20/03/2018,12261.19043,12320,12191.5498,12307.33008,12307.33008,72907500,-0.461396484
DAX,21/03/2018,12336.75977,12344.08984,12250.37012,12309.15039,12309.15039,108917200,0.27609375
