Stockname,Date,Volume
DAX,02/11/2018,429480000
DAX,05/11/2018,334740000
DAX,06/11/2018,265450000
DAX,07/11/2018,361780000
DAX,08/11/2018,295650000
DAX,09/11/2018,324450000
DAX,12/11/2018,346910000
DAX,13/11/2018,339690000
DAX,14/11/2018,384240000
DAX,15/11/2018,392750000
DAX,16/11/2018,354460000
DAX,19/11/2018,358090000
DAX,20/11/2018,445920000
DAX,21/11/2018,289370000
DAX,23/11/2018,155940000
DAX,26/11/2018,306280000
DAX,27/11/2018,308250000
DAX,28/11/2018,362160000
DAX,29/11/2018,305110000
DAX,30/11/2018,482250000
DAX,03/12/2018,388480000
DAX,04/12/2018,418900000
DAX,06/12/2018,471690000
DAX,07/12/2018,398230000
DAX,10/12/2018,389690000
DAX,11/12/2018,342960000
DAX,12/12/2018,344330000
DAX,13/12/2018,299970000
DAX,14/12/2018,416940000
DAX,17/12/2018,466740000
DAX,18/12/2018,408070000
DAX,19/12/2018,503550000
DAX,20/12/2018,576700000
DAX,21/12/2018,900510000
DAX,24/12/2018,308420000
DAX,26/12/2018,433080000
DAX,27/12/2018,407940000
DAX,28/12/2018,336510000
DAX,31/12/2018,288830000
DAX,02/01/2019,321570000
DAX,03/01/2019,424240000
DAX,04/01/2019,396020000
DAX,07/01/2019,334200000
DAX,08/01/2019,317420000
DAX,09/01/2019,324570000
DAX,10/01/2019,338150000
DAX,11/01/2019,262650000
DAX,14/01/2019,277560000
DAX,15/01/2019,291570000
DAX,16/01/2019,302830000
DAX,17/01/2019,288590000
DAX,18/01/2019,372970000
DAX,22/01/2019,338480000
DAX,23/01/2019,318600000
DAX,24/01/2019,320170000
DAX,25/01/2019,376890000
DAX,28/01/2019,347170000
DAX,29/01/2019,330870000
DAX,30/01/2019,397330000
DAX,31/01/2019,507350000
DAX,01/02/2019,372090000
DAX,04/02/2019,298540000
DAX,05/02/2019,310650000
DAX,06/02/2019,247590000
DAX,07/02/2019,295460000
DAX,08/02/2019,248210000
DAX,11/02/2019,241700000
DAX,12/02/2019,278110000
DAX,13/02/2019,263330000
DAX,14/02/2019,313010000
DAX,15/02/2019,328530000
DAX,19/02/2019,280620000
DAX,20/02/2019,287880000
DAX,21/02/2019,255710000
DAX,22/02/2019,279760000
DAX,25/02/2019,281600000
DAX,26/02/2019,257850000
DAX,27/02/2019,255380000
DAX,28/02/2019,338520000
DAX,01/03/2019,289890000
DAX,04/03/2019,295510000
DAX,05/03/2019,252260000
DAX,06/03/2019,256250000
DAX,07/03/2019,289140000
DAX,08/03/2019,270500000
DAX,11/03/2019,309790000
DAX,12/03/2019,317730000
DAX,13/03/2019,331410000
DAX,14/03/2019,302790000
DAX,15/03/2019,616910000
DAX,18/03/2019,303170000
DAX,19/03/2019,342250000
DAX,20/03/2019,321980000
DAX,21/03/2019,335250000
DAX,22/03/2019,386510000
DAX,25/03/2019,303120000
DAX,26/03/2019,305110000
DAX,27/03/2019,270340000
DAX,28/03/2019,237170000
DAX,29/03/2019,300620000
DAX,01/04/2019,295570000
DAX,02/04/2019,250940000
DAX,03/04/2019,271980000
DAX,04/04/2019,233040000
DAX,05/04/2019,229550000
DAX,08/04/2019,229380000
DAX,09/04/2019,244410000
DAX,10/04/2019,203130000
DAX,11/04/2019,211680000
DAX,12/04/2019,369910000
DAX,15/04/2019,250620000
DAX,16/04/2019,302340000
DAX,17/04/2019,367780000
DAX,18/04/2019,332850000
DAX,22/04/2019,232570000
DAX,23/04/2019,311690000
DAX,24/04/2019,283370000
DAX,25/04/2019,296730000
DAX,26/04/2019,317290000
DAX,29/04/2019,279450000
DAX,30/04/2019,340320000
DAX,01/05/2019,303850000
DAX,02/05/2019,287610000
DAX,03/05/2019,248900000
DAX,06/05/2019,283020000
DAX,07/05/2019,334960000
DAX,08/05/2019,276420000
DAX,09/05/2019,334760000
DAX,10/05/2019,294580000
DAX,13/05/2019,361240000
DAX,14/05/2019,291570000
DAX,15/05/2019,270720000
DAX,16/05/2019,320960000
DAX,17/05/2019,283760000
DAX,20/05/2019,279560000
DAX,21/05/2019,260870000
