Stockname,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,R,Returns
DAX,22/02/2018,12358.82031,12497.70996,12283.7002,12461.91016,12461.91016,104173000,0.017272228,-0.00068803,-0.068802989
DAX,23/02/2018,12491.76953,12513.32031,12431.94043,12483.79004,12483.79004,97926500,0.0065247,0.00175574,0.175574047
DAX,26/02/2018,12566.0498,12601.45996,12484.58984,12527.04004,12527.04004,78303000,0.009317606,0.00346449,0.346449274
DAX,27/02/2018,12573.65039,12577.55957,12436.12988,12490.73047,12490.73047,89864600,0.011308304,-0.00289850,-0.289849557
DAX,28/02/2018,12427.45996,12516.91992,12417.95996,12435.84961,12435.84961,93391300,0.007937514,-0.00439373,-0.439372702
DAX,01/03/2018,12386.40039,12387.87988,12143.13965,12190.94043,12190.94043,113680600,0.019954193,-0.01969380,-1.969380361
DAX,02/03/2018,12051.88965,12081.40039,11877.66016,11913.70996,11913.70996,120480800,0.017007774,-0.02274070,-2.274069598
DAX,05/03/2018,11831.57031,12110.17969,11830.98047,12090.87012,12090.87012,109920600,0.023324841,0.01487028,1.48702764
DAX,06/03/2018,12229.29004,12259.58008,12110.33984,12113.87012,12113.87012,104517000,0.012248059,0.00190226,0.190226177
DAX,07/03/2018,12060.08984,12275.69043,12020.61035,12245.36035,12245.36035,92920300,0.020998213,0.01085452,1.085451872
DAX,08/03/2018,12237.94043,12382.69043,12177.12012,12355.57031,12355.57031,97759800,0.016740773,0.00900014,0.90001402
DAX,09/03/2018,12331.63965,12407.98047,12284.57031,12346.67969,12346.67969,96109700,0.009995823,-0.00071956,-0.071956371
DAX,12/03/2018,12453.2998,12454.95996,12361.00977,12418.38965,12418.38965,136801400,0.007571789,0.00580804,0.580803599
DAX,13/03/2018,12425.69043,12459.90039,12162.46973,12221.03027,12221.03027,131887900,0.02416056,-0.01589251,-1.589250986
DAX,14/03/2018,12212.49023,12322.88965,12202.75977,12237.74023,12237.74023,104202200,0.009796343,0.00136731,0.136731189
DAX,15/03/2018,12284.13965,12378.38965,12239.95996,12345.55957,12345.55957,106658200,0.011246176,0.00881040,0.88103962
DAX,16/03/2018,12345.55957,12454.01953,12337.62012,12389.58008,12389.58008,212840100,0.009390284,0.00356570,0.356569581
DAX,19/03/2018,12346.50977,12369.76953,12183.79004,12217.01953,12217.01953,97309700,0.015149172,-0.01392788,-1.392787721
DAX,20/03/2018,12261.19043,12320,12191.5498,12307.33008,12307.33008,72907500,0.010480886,0.00739219,0.739219167
DAX,21/03/2018,12336.75977,12344.08984,12250.37012,12309.15039,12309.15039,108917200,0.007621243,0.00014790,0.014790454
DAX,22/03/2018,12187.73047,12267.16992,12009.5,12100.08008,12100.08008,138428600,0.021228579,-0.01698495,-1.698495049
DAX,23/03/2018,11995.50977,12001.78027,11818.7002,11886.30957,11886.30957,145617800,0.015371955,-0.01766687,-1.766686737
DAX,26/03/2018,11919.63965,11984.5,11726.62012,11787.25977,11787.25977,99857900,0.021752667,-0.00833310,-0.833309947
DAX,27/03/2018,11996.34961,12042.78027,11927.91016,11970.83008,11970.83008,98677800,0.009584287,0.01557362,1.557362047
DAX,28/03/2018,11868.08008,11961.16016,11770.40039,11940.70996,11940.70996,113396700,0.016076809,-0.00251613,-0.251612627
DAX,29/03/2018,11956.33984,12151.30957,11942.28027,12096.73047,12096.73047,111589200,0.01735188,0.01306627,1.306626746
DAX,03/04/2018,11997.46973,12069.48047,11913.62012,12002.4502,12002.4502,95226700,0.012997698,-0.00779386,-0.779386382
DAX,04/04/2018,12000.46973,12011.12012,11792.34961,11957.90039,11957.90039,107305000,0.018381914,-0.00371173,-0.371172629
DAX,05/04/2018,12153.61035,12322.37012,12135.63965,12305.19043,12305.19043,109092300,0.015269771,0.02904273,2.904272729
DAX,06/04/2018,12242.94043,12290.03027,12202.0498,12241.26953,12241.26953,87009100,0.007184433,-0.00519463,-0.519462908
DAX,09/04/2018,12311.01953,12371.11035,12205.38965,12261.75,12261.75,77287300,0.013486315,0.00167307,0.167306748
DAX,10/04/2018,12389.90039,12428.90039,12334.9502,12397.32031,12397.32031,99355700,0.007587725,0.01105636,1.1056359
DAX,11/04/2018,12372.07031,12381.53027,12256.58984,12293.96973,12293.96973,98812700,0.010142129,-0.00833653,-0.833652575
DAX,12/04/2018,12282.38965,12434.24023,12263.7002,12415.00977,12415.00977,82053600,0.01381028,0.00984548,0.984548056
DAX,13/04/2018,12461.30957,12523.96973,12411.65039,12442.40039,12442.40039,76693800,0.009008807,0.00220625,0.220625038
DAX,16/04/2018,12478.99023,12487.04004,12375.62988,12391.41016,12391.41016,62656800,0.008962103,-0.00409810,-0.409810233
DAX,17/04/2018,12443.2002,12614.25,12417.25977,12585.57031,12585.57031,85350700,0.015739706,0.01566893,1.566893094
DAX,18/04/2018,12597.58008,12640.25,12548.4502,12590.83008,12590.83008,83029000,0.007288999,0.00041792,0.041792067
DAX,19/04/2018,12595.61035,12595.61035,12534.62988,12567.41992,12567.41992,70668500,0.004853164,-0.00185930,-0.185930235
DAX,20/04/2018,12555.95996,12585.37012,12490.76953,12540.5,12540.5,111680200,0.007545104,-0.00214204,-0.214204031
DAX,23/04/2018,12538.16016,12588.23047,12466.46973,12572.38965,12572.38965,78154600,0.009719669,0.00254293,0.25429329
DAX,24/04/2018,12602.41016,12647.16016,12481.2998,12550.82031,12550.82031,106073600,0.013201189,-0.00171561,-0.17156118
DAX,25/04/2018,12456.82031,12484.78027,12312.26953,12422.2998,12422.2998,108576800,0.013914036,-0.01024001,-1.024000877
DAX,26/04/2018,12395.90039,12503.21973,12383.9502,12500.46973,12500.46973,119856800,0.009584894,0.00629271,0.629270999
DAX,27/04/2018,12572.71973,12627.70996,12518.03027,12580.87012,12580.87012,0,0.008723576,0.00643179,0.64317895
DAX,30/04/2018,12606.26953,12622.92969,12563.74023,12612.11035,12612.11035,96521000,0.004700071,0.00248315,0.248315337
DAX,02/05/2018,12610.78027,12827.54004,12605.37988,12802.25,12802.25,110911800,0.017470728,0.01507596,1.507595832
DAX,03/05/2018,12775.66016,12798.16016,12665.33008,12690.15039,12690.15039,98817100,0.010433078,-0.00875624,-0.875624285
DAX,04/05/2018,12733.19043,12819.59961,12707.86035,12819.59961,12819.59961,99070000,0.008754492,0.01020076,1.020076327
DAX,07/05/2018,12827.42969,12961.0498,12813.5498,12948.13965,12948.13965,64800000,0.011445502,0.01002684,1.002683734
DAX,08/05/2018,12924.23047,12933.66992,12855.08984,12912.20996,12912.20996,95587900,0.006094153,-0.00277489,-0.277489207
DAX,09/05/2018,12917.82031,12962.51953,12890.37988,12943.05957,12943.05957,102677600,0.005580793,0.00238918,0.238918126
DAX,10/05/2018,12975.08984,13034.20996,12928.50977,13022.87012,13022.87012,72155400,0.008142504,0.00616628,0.616628159
DAX,11/05/2018,13023,13033.2998,12964,13001.24023,13001.24023,83673800,0.00533132,-0.00166092,-0.166091574
DAX,14/05/2018,13009.83008,13015.09961,12927.24023,12977.70996,12977.70996,77168000,0.006773461,-0.00180985,-0.180984811
DAX,15/05/2018,12947.96973,13006.33984,12918.29004,12970.04004,12970.04004,106592400,0.006792779,-0.00059101,-0.05910072
DAX,16/05/2018,12983.49023,13030.75977,12960.53027,12996.33008,12996.33008,104171700,0.005404093,0.00202698,0.202698218
DAX,17/05/2018,12985.13965,13114.62988,12981.88965,13114.61035,13114.61035,92016400,0.010173109,0.00910105,0.910105155
DAX,18/05/2018,13115.62988,13133.19043,13051.12988,13077.71973,13077.71973,124262900,0.006267936,-0.00281294,-0.281294061
DAX,22/05/2018,13132.55957,13204.30957,13061.76953,13169.91992,13169.91992,109116500,0.010853652,0.00705017,0.705017326
DAX,23/05/2018,13138.83008,13148.0498,12929.90039,12976.83984,12976.83984,105439100,0.016730954,-0.01466069,-1.466068747
DAX,24/05/2018,12955.94043,13006.44043,12801.82031,12855.08984,12855.08984,143763000,0.01585728,-0.00938210,-0.93820993
DAX,25/05/2018,12917.15039,13002.46973,12852.16992,12938.00977,12938.00977,104044700,0.011626656,0.00645036,0.645035788
DAX,28/05/2018,13016.5498,13040.62988,12828.25977,12863.45996,12863.45996,69766800,0.016419327,-0.00576208,-0.576207711
DAX,29/05/2018,12786.15039,12803.29004,12608.7002,12666.50977,12666.50977,153964500,0.015315105,-0.01531083,-1.531082544
DAX,30/05/2018,12693.33008,12783.75977,12663.37012,12783.75977,12783.75977,122609400,0.009462014,0.00925669,0.925669361
DAX,31/05/2018,12796.16016,12803.59961,12547.61035,12604.88965,12604.88965,184309000,0.020196114,-0.01399198,-1.39919807
DAX,01/06/2018,12678.07031,12800.4502,12660.79004,12724.26953,12724.26953,123414600,0.010970523,0.00947092,0.94709183
DAX,04/06/2018,12839.44043,12846.25977,12714.03027,12770.75,12770.75,84511600,0.010346571,0.00365290,0.365289889
DAX,05/06/2018,12766.16016,12925.24023,12753.2998,12787.12988,12787.12988,107898300,0.013391961,0.00128261,0.128260909
DAX,06/06/2018,12813.38965,12872.90039,12729.23047,12830.07031,12830.07031,106976800,0.011223396,0.00335810,0.335809759
DAX,07/06/2018,12877.84961,12914.84961,12760.54004,12811.0498,12811.0498,94068000,0.012020182,-0.00148249,-0.14824946
DAX,08/06/2018,12668.76953,12795.63965,12610.67969,12766.5498,12766.5498,115025300,0.014560411,-0.00347356,-0.347356389
DAX,11/06/2018,12816.32031,12861.9502,12751.66016,12842.91016,12842.91016,108719300,0.008611884,0.00598128,0.5981284
DAX,12/06/2018,12924.03027,12948.51953,12816.07031,12842.2998,12842.2998,100645600,0.010281583,-0.00004753,-0.004752505
DAX,13/06/2018,12857.16016,12905.66992,12781.23047,12890.58008,12890.58008,105696700,0.009689018,0.00375947,0.375947305
DAX,14/06/2018,12806.07031,13135.96973,12800.66016,13107.09961,13107.09961,136091200,0.025857504,0.01679673,1.67967251
DAX,15/06/2018,13115.84961,13170.0498,13010.54004,13010.5498,13010.5498,257670500,0.012185496,-0.00736622,-0.736622234
DAX,18/06/2018,12945.53027,12982.91992,12784.48047,12834.11035,12834.11035,89102600,0.015402669,-0.01356126,-1.356126011
DAX,19/06/2018,12647.07031,12708.70996,12594.50977,12677.96973,12677.96973,102502200,0.009026596,-0.01216606,-1.216606494
DAX,20/06/2018,12731.66016,12760.2002,12670.78027,12695.16016,12695.16016,89617400,0.007032391,0.00135593,0.135592925
DAX,21/06/2018,12699.70996,12719.4502,12472.98047,12511.91016,12511.91016,111154800,0.019567591,-0.01443463,-1.443463475
DAX,22/06/2018,12507.71973,12579.71973,12486.25977,12579.71973,12579.71973,83725600,0.007457151,0.00541960,0.541960173
DAX,25/06/2018,12497.48047,12518.88965,12270.33008,12270.33008,12270.33008,98566500,0.020054516,-0.02459432,-2.45943198
DAX,26/06/2018,12333.44043,12355.86035,12188.5,12234.33984,12234.33984,62457100,0.013637589,-0.00293311,-0.293311099
DAX,27/06/2018,12247.75,12439.91016,12124.87012,12348.61035,12348.61035,127889100,0.02565114,0.00934015,0.934014516
DAX,28/06/2018,12289.80957,12375.37012,12104.41016,12177.23047,12177.23047,107207500,0.022138354,-0.01387847,-1.3878475
DAX,29/06/2018,12322.63965,12382.87012,12260.91016,12306,12306,114043400,0.00989791,0.01057462,1.057461549
DAX,02/07/2018,12147.94043,12301.92969,12132.71973,12238.16992,12238.16992,93436600,0.013850222,-0.00551195,-0.551195189
DAX,03/07/2018,12321.07031,12428.13965,12278.38965,12349.13965,12349.13965,93526400,0.01212245,0.00906751,0.906751015
DAX,04/07/2018,12323.75,12350.67969,12284.55957,12317.61035,12317.61035,78417600,0.005367943,-0.00255316,-0.255315762
DAX,05/07/2018,12363.0498,12516.50977,12361.86035,12464.29004,12464.29004,114460400,0.0124326,0.01190813,1.190812875
DAX,06/07/2018,12506.26953,12508.08008,12426.40039,12496.16992,12496.16992,0,0.006551569,0.00255770,0.255769722
DAX,09/07/2018,12541.74023,12559.96973,12490.40039,12543.88965,12543.88965,74724300,0.005554371,0.00381875,0.381874849
DAX,10/07/2018,12580.30957,12639.79004,12530.70996,12609.84961,12609.84961,81853500,0.00866735,0.00525833,0.525833389
DAX,11/07/2018,12506.99023,12514.75,12398.46973,12417.12988,12417.12988,84350300,0.009334893,-0.01528327,-1.52832695
DAX,12/07/2018,12464.05957,12505.2002,12408.62988,12492.96973,12492.96973,72314800,0.007752385,0.00610768,0.610767953
DAX,13/07/2018,12549.23047,12583.79004,12499.2998,12540.73047,12540.73047,0,0.006736854,0.00382301,0.382300934
DAX,16/07/2018,12530.98047,12604.24023,12506.99023,12561.01953,12561.01953,97107500,0.007745577,0.00161785,0.161785313
