Stockname,Date,Open,High,Low,Close,Adj Close,Volume,Return
DAX,02/01/2018,24809.34961,24864.18945,24741.69922,24824.00977,24824.00977,341130000,-0.1466016
DAX,03/01/2018,24850.44922,24941.91992,24825.55078,24922.67969,24922.67969,456790000,-0.7223047
DAX,04/01/2018,24964.85938,25105.96094,24963.26953,25075.13086,25075.13086,403280000,-1.1027148
DAX,05/01/2018,25114.91992,25299.78906,25112.00977,25295.86914,25295.86914,358020000,-1.8094922
DAX,08/01/2018,25308.40039,25311.99023,25235.41016,25283,25283,341390000,0.2540039
DAX,09/01/2018,25312.05078,25439.7793,25308.41016,25385.80078,25385.80078,333490000,-0.7375
DAX,10/01/2018,25348.13086,25404.91992,25256.99023,25369.13086,25369.13086,341470000,-0.21
DAX,11/01/2018,25398.59961,25575.41992,25396.18945,25574.73047,25574.73047,346830000,-1.7613086
DAX,12/01/2018,25638.39063,25810.42969,25633.08008,25803.18945,25803.18945,376390000,-1.6479882
DAX,16/01/2018,25987.61914,26086.11914,25702.99023,25792.85938,25792.85938,606520000,1.9475976
DAX,17/01/2018,25910.7793,26130.44922,25865.01953,26115.65039,26115.65039,522720000,-2.0487109
DAX,18/01/2018,26149.55078,26153.41992,25947.32031,26017.81055,26017.81055,492780000,1.3174023
DAX,19/01/2018,25987.34961,26071.7207,25942.83008,26071.7207,26071.7207,585000000,-0.8437109
DAX,22/01/2018,26025.32031,26215.23047,25974.65039,26214.59961,26214.59961,431200000,-1.892793
DAX,23/01/2018,26214.86914,26246.18945,26143.90039,26210.81055,26210.81055,433490000,0.0405859
DAX,24/01/2018,26282.07031,26392.80078,26106.93945,26252.11914,26252.11914,518790000,0.2995117
DAX,25/01/2018,26313.06055,26458.25,26259.7207,26392.78906,26392.78906,401390000,-0.7972851
DAX,26/01/2018,26466.74023,26616.71094,26425.34961,26616.71094,26616.71094,477780000,-1.4997071
DAX,29/01/2018,26584.2793,26608.90039,26435.33984,26439.48047,26439.48047,421000000,1.4479883
DAX,30/01/2018,26198.44922,26256.99023,26028.41992,26076.89063,26076.89063,448330000,1.2155859
DAX,31/01/2018,26268.16992,26338.0293,26050.98047,26149.39063,26149.39063,479130000,1.1877929
DAX,01/02/2018,26083.03906,26306.69922,26014.43945,26186.71094,26186.71094,410620000,-1.0367188
DAX,02/02/2018,26061.78906,26061.78906,25490.66016,25520.96094,25520.96094,522880000,5.4082812
