Date,Open,High,Low,Close,Adj Close,Volume
2021-01-03,23498.419922,25311.591797,23442.039063,23961.103516,23961.103516,57498151044
2021-01-04,23982.244141,24417.646484,21000.929688,23558.984375,23558.984375,59806524259
2021-01-05,23562.761719,25281.978516,22227.591797,24943.916016,24943.916016,49566767303
2021-01-06,24959.462891,27069.476563,24584.923828,27028.863281,27028.863281,55261992680
2021-01-07,27035.843750,29637.521484,26839.597656,29015.119141,29015.119141,62466816027
2021-01-08,29023.021484,30886.810547,27163.189453,30077.916016,30077.916016,64957004414
2021-01-09,30071.302734,30536.394531,28734.246094,29674.242188,29674.242188,45692555398
2021-01-10,29674.000000,30533.474609,26523.765625,28373.101563,28373.101563,59163518643
2021-01-11,28365.771484,28365.771484,22608.902344,26300.226563,26300.226563,91190996730
2021-01-12,26263.035156,26981.685547,24044.359375,24821.056641,24821.056641,54710784940
2021-01-13,24815.320313,27563.929688,23838.355469,27342.703125,27342.703125,50825107155
2021-01-14,27349.113281,29245.136719,27029.376953,28640.373047,28640.373047,46494255244
2021-01-15,28617.994141,28912.863281,25522.802734,27109.287109,27109.287109,49882624000
2021-01-16,27106.550781,27864.994141,26223.302734,26624.070313,26624.070313,42466906956
2021-01-17,26613.408203,26991.808594,25072.160156,26373.697266,26373.697266,38582667664
2021-01-18,26374.404297,27538.919922,25718.636719,26968.123047,26968.123047,36451951168
2021-01-19,26977.074219,27719.695313,26435.884766,26435.884766,26435.884766,41954786069
2021-01-20,26421.451172,26658.546875,24629.250000,26010.964844,26010.964844,48904127039
2021-01-21,26012.169922,26017.521484,22027.839844,22453.623047,22453.623047,55098864362
2021-01-22,22447.742188,24712.474609,21101.970703,24124.208984,24124.208984,56431490344
2021-01-23,24109.585938,24383.839844,23018.634766,23438.529297,23438.529297,35342913179
2021-01-24,23436.140625,24079.072266,22736.156250,23593.623047,23593.623047,35543706512
2021-01-25,23591.007813,25436.316406,23466.281250,23665.498047,23665.498047,43795229071
2021-01-26,23659.808594,23870.332031,22614.578125,23704.402344,23704.402344,43854016257
2021-01-27,23700.166016,23700.166016,21468.671875,22261.195313,22261.195313,45774463377
2021-01-28,22267.408203,24664.222656,21973.205078,24383.966797,24383.966797,55751701897
2021-01-29,25005.167969,27953.382813,23412.251953,25025.636719,25025.636719,85976031738
2021-01-30,25010.722656,25403.628906,24022.027344,25007.875000,25007.875000,47536663289
2021-01-31,25008.865234,25021.601563,23546.289063,24175.666016,24175.666016,38514297950
2021-02-01,24175.826172,25241.316406,23625.394531,24523.121094,24523.121094,44897323772
2021-02-02,24520.214844,26300.533203,24495.253906,25997.402344,25997.402344,46187721193
2021-02-03,25997.791016,27459.634766,25937.835938,27451.865234,27451.865234,44810505149
2021-02-04,27454.074219,28401.718750,26584.771484,27007.908203,27007.908203,50348511800
2021-02-05,27011.917969,27881.210938,26789.492188,27768.597656,27768.597656,42658689164
2021-02-06,27764.289063,29735.796875,27764.289063,28585.185547,28585.185547,51924496587
2021-02-07,28573.667969,28844.220703,27260.351563,28317.503906,28317.503906,47677392683
2021-02-08,28305.410156,33613.500000,27726.644531,33608.066406,33608.066406,73817708906
2021-02-09,33599.718750,34843.070313,32774.906250,33643.953125,33643.953125,66453803373
2021-02-10,33635.742188,34060.269531,31695.048828,32476.566406,32476.566406,63120084813
2021-02-11,32462.486328,35085.804688,31962.201172,34688.082031,34688.082031,58928502151
2021-02-12,34664.695313,35292.300781,33579.234375,34315.128906,34315.128906,55299534008
2021-02-13,34305.269531,34711.566406,33515.593750,34030.863281,34030.863281,50751669294
2021-02-14,34037.359375,35751.800781,34037.359375,35124.242188,35124.242188,51368941115
2021-02-15,35109.277344,35223.109375,33349.511719,34455.667969,34455.667969,55386208841
2021-02-16,34455.238281,36152.511719,33891.148438,35433.355469,35433.355469,55490493197
2021-02-17,35438.687500,37891.292969,35394.628906,37609.394531,37609.394531,58287049961
2021-02-18,37603.601563,37828.742188,36616.617188,37000.824219,37000.824219,37269256058
2021-02-19,36998.089844,40062.675781,36503.687500,39904.460938,39904.460938,45336165772
2021-02-20,39903.894531,41031.187500,38977.199219,40032.503906,40032.503906,48628463984
2021-02-21,40010.417969,41615.656250,39727.863281,41018.789063,41018.789063,36996491043
2021-02-22,41013.652344,41019.292969,34911.769531,38533.109375,38533.109375,65435186835
2021-02-23,38531.410156,38531.410156,32142.369141,34580.144531,34580.144531,75147621055
2021-02-24,34587.695313,36216.734375,33431.406250,35136.152344,35136.152344,45025663419
2021-02-25,35138.804688,36717.218750,33630.851563,33630.851563,33630.851563,38924446902
2021-02-26,33692.703125,34692.109375,31906.662109,33264.210938,33264.210938,251936370336
2021-02-27,33267.808594,34652.265625,32509.181641,33169.449219,33169.449219,32970165658
2021-02-28,33173.449219,33548.609375,31053.232422,32300.904297,32300.904297,38244819967
2021-03-01,32316.457031,35744.226563,32269.156250,35631.707031,35631.707031,38690127198
2021-03-02,35617.968750,35990.449219,33815.097656,34669.351563,34669.351563,34061591924
2021-03-03,34695.742188,37615.261719,34595.261719,36302.933594,36302.933594,38229892982
2021-03-04,36291.484375,37114.445313,34317.660156,34952.046875,34952.046875,37674619087
2021-03-05,34927.476563,35697.714844,33544.167969,35364.070313,35364.070313,35146237886
2021-03-06,35343.777344,35523.019531,34157.171875,35353.281250,35353.281250,24837572174
2021-03-07,35357.835938,37098.277344,35357.835938,36970.003906,36970.003906,31144210372
2021-03-08,36946.484375,37840.859375,35773.421875,37799.210938,37799.210938,35159170049
2021-03-09,37818.343750,39477.695313,37622.734375,39477.695313,39477.695313,36660825783
2021-03-10,39477.621094,41106.332031,38439.839844,40206.351563,40206.351563,41130260641
2021-03-11,40173.785156,41523.550781,39081.308594,41325.980469,41325.980469,40587627110
2021-03-12,41337.488281,41452.386719,39848.261719,41187.199219,41187.199219,40007489204
2021-03-13,41195.304688,44313.503906,40386.824219,43996.847656,43996.847656,43585023729
2021-03-14,43981.078125,44251.761719,42572.242188,42572.242188,42572.242188,31516031314
2021-03-15,42547.199219,43476.304688,39788.632813,40226.125000,40226.125000,47789799346
2021-03-16,40178.339844,40904.828125,38558.335938,40861.355469,40861.355469,42979703126
2021-03-17,40876.410156,42222.507813,39251.125000,42124.597656,42124.597656,43117353937
2021-03-18,42140.472656,43132.566406,38967.851563,41555.898438,41555.898438,40038367536
2021-03-19,41549.804688,42912.371094,40701.671875,42057.960938,42057.960938,35366663077
2021-03-20,42047.585938,43281.417969,41970.679688,42043.027344,42043.027344,36309851338
2021-03-21,42040.339844,42370.535156,40378.984375,41582.589844,41582.589844,37548907446
2021-03-22,41578.589844,42179.160156,39166.464844,39344.250000,39344.250000,40781755843
2021-03-23,39331.636719,40670.957031,38657.171875,39863.417969,39863.417969,41098580425
2021-03-24,39842.695313,41778.289063,38371.644531,38556.664063,38556.664063,51556131430
2021-03-25,38521.949219,39018.246094,37106.835938,37605.781250,37605.781250,49458031874
2021-03-26,37590.398438,40002.285156,37515.371094,40002.285156,40002.285156,41101339589
2021-03-27,40002.468750,41018.234375,39332.128906,40587.007813,40587.007813,34273489705
2021-03-28,40588.046875,41048.761719,39920.937500,40575.593750,40575.593750,34582403855
2021-03-29,40573.527344,42144.171875,40053.714844,41926.644531,41926.644531,41836176182
2021-03-30,41926.597656,43270.089844,41549.855469,42862.089844,42862.089844,39585779977
