Date,BTC-GBP,XRP-GBP
6/6/2021,25096.6543,0.652144
6/7/2021,25298.69336,0.668356
6/8/2021,23695.32422,0.608638
6/9/2021,23617.61523,0.617745
6/10/2021,26496.08008,0.652896
6/11/2021,25897.46289,0.613436
6/12/2021,26468.29883,0.601013
6/13/2021,25203.47266,0.590645
6/14/2021,27636.46094,0.625479
6/15/2021,28651.54297,0.628683
6/16/2021,28527.5625,0.615635
6/17/2021,27408.06055,0.594558
6/18/2021,27335.00391,0.604337
6/19/2021,25959.89844,0.578001
6/20/2021,25748.92188,0.550539
6/21/2021,25797.13281,0.560798
6/22/2021,22711.31836,0.436116
6/23/2021,23309.60547,0.392089
6/24/2021,24116.3125,0.45722
6/25/2021,24905.33984,0.48354
6/26/2021,22754.53906,0.440465
6/27/2021,23253.53906,0.44436
6/28/2021,24955.68555,0.466517
6/29/2021,24840.70898,0.46398
6/30/2021,25944.70898,0.509872
7/1/2021,25335.5,0.50965
7/2/2021,24383.74805,0.479606
7/3/2021,24487.81641,0.474241
7/4/2021,25079.08008,0.487045
7/5/2021,25511.07422,0.502967
7/6/2021,24340.68555,0.471357
7/7/2021,24793.66406,0.481922
7/8/2021,24557.93359,0.472969
7/9/2021,23830.10156,0.450826
7/10/2021,24312.04102,0.458195
7/11/2021,24102.91211,0.449358
7/12/2021,24646.72461,0.457866
7/13/2021,23854.3457,0.453277
7/14/2021,23703.25586,0.448708
7/15/2021,23691.48242,0.44745
7/16/2021,23026.69531,0.432126
7/17/2021,22809.51758,0.428255
7/18/2021,22908.73633,0.423242
7/19/2021,23104.49023,0.426652
7/20/2021,22562.83203,0.407984
7/21/2021,21853.75781,0.388029
7/22/2021,23438.49414,0.416831
7/23/2021,23456.41992,0.430231
7/24/2021,24422.91016,0.442746
7/25/2021,24941.11133,0.443099
7/26/2021,25720.50977,0.441147
7/27/2021,26960.45313,0.451443
7/28/2021,28456.35742,0.465041
7/29/2021,28761.41016,0.526851
7/30/2021,28664.36133,0.536977
7/31/2021,30351.58984,0.541027
8/1/2021,29817.22852,0.536455
8/2/2021,28718.54297,0.521118
8/3/2021,28205.47266,0.531639
8/4/2021,27457.1582,0.512762
8/5/2021,28615.21484,0.526247
8/6/2021,29342.26367,0.526291
8/7/2021,30870.49609,0.538476
8/8/2021,32119.93945,0.588531
8/9/2021,31580.54883,0.561785
8/10/2021,33424.21484,0.590284
8/11/2021,32958.23438,0.615282
8/12/2021,32868.67969,0.73023
8/13/2021,32176.91602,0.70027
8/14/2021,34483.03125,0.786033
8/15/2021,33968.04688,0.924374
8/16/2021,33917.84766,0.926884
8/17/2021,33188.72266,0.857077
8/18/2021,32523.15039,0.798881
8/19/2021,32555.62695,0.83289
8/20/2021,34278.74609,0.904932
8/21/2021,36203.35938,0.927646
8/22/2021,35873.83203,0.893665
8/23/2021,36178.80859,0.900448
8/24/2021,36115.28906,0.909505
8/25/2021,34774.50781,0.828436
8/26/2021,35601.35156,0.85336
8/27/2021,34228.47656,0.783403
8/28/2021,35650.25,0.866219
8/29/2021,35533.04297,0.832491
8/30/2021,35485.30859,0.830066
8/31/2021,34177.15234,0.800447
9/1/2021,34248.36719,0.863059
9/2/2021,35441.86719,0.898642
9/3/2021,35622.53906,0.906414
9/4/2021,36068.77734,0.930907
9/5/2021,36017.23047,0.905251
9/6/2021,37357.55078,0.943386
9/7/2021,38052.14453,1.003999
9/8/2021,33984.125,0.817665
9/9/2021,33249.94922,0.791961
9/10/2021,33526.96875,0.785898
9/11/2021,32434.47852,0.763768
9/12/2021,32675.57813,0.780831
9/13/2021,33281.21875,0.808902
9/14/2021,32491.14453,0.769908
9/15/2021,34108.88672,0.794415
9/16/2021,34781.71094,0.809794
9/17/2021,34620.125,0.79057
9/18/2021,34404.53906,0.775746
9/19/2021,35128.91406,0.782482
9/20/2021,34424.87891,0.764073
9/21/2021,31482.97656,0.675113
9/22/2021,29784.64258,0.639819
9/23/2021,31991.33398,0.737738
9/24/2021,32719.28125,0.730596
9/25/2021,31304.99609,0.690871
9/26/2021,31217.84766,0.688032
9/27/2021,31630.60547,0.692073
9/28/2021,30801.75977,0.673726
9/29/2021,30325.05273,0.660624
9/30/2021,30945.72461,0.690775
10/1/2021,32532.66016,0.708142
10/2/2021,35537.62891,0.769304
10/3/2021,35201.21094,0.766105
10/4/2021,35525.76953,0.778012
10/5/2021,36139.85938,0.765561
10/6/2021,37783.4375,0.796177
10/7/2021,40713.67578,0.792506
10/8/2021,39504.22656,0.784005
10/9/2021,39614.92969,0.780001
10/10/2021,40366.41797,0.852298
10/11/2021,40198.38281,0.835267
10/12/2021,42325.36719,0.837533
10/13/2021,41274.97656,0.811653
10/14/2021,41974.36719,0.82488
10/15/2021,41956.15625,0.829332
10/16/2021,44823.21094,0.830464
10/17/2021,44298.01953,0.82553
10/18/2021,44727.39063,0.795614
10/19/2021,45168.78906,0.789097
10/20/2021,46607.03125,0.791648
10/21/2021,47751.49219,0.828682
10/22/2021,45129.06641,0.790294
10/23/2021,44115.89063,0.792147
10/24/2021,44597.48047,0.795666
10/25/2021,44247.53906,0.787167
10/26/2021,45796.76953,0.795658
10/27/2021,43842.89063,0.804867
10/28/2021,42580.31641,0.724766
10/29/2021,43935.99609,0.767512
10/30/2021,45479.98438,0.790192
10/31/2021,45195.82422,0.793515
11/1/2021,44814.94531,0.813528
11/2/2021,44646.68359,0.800153
11/3/2021,46450.82031,0.834176
11/4/2021,45963.25391,0.883981
11/5/2021,45498.89844,0.889779
11/6/2021,45226.14063,0.859538
11/7/2021,45603.02344,0.85435
11/8/2021,46954.35938,0.9051
11/9/2021,49800.83984,0.945543
11/10/2021,49375.74609,0.92713
11/11/2021,48448,0.889346
11/12/2021,48533.69531,0.910043
11/13/2021,47825.64453,0.88667
11/14/2021,48047.22656,0.887958
11/15/2021,48837.60156,0.886114
11/16/2021,47516.51172,0.875932
11/17/2021,44801.01172,0.812073
11/18/2021,44746.35938,0.812698
11/19/2021,42147.45703,0.771094
11/20/2021,43224.3125,0.8115
11/21/2021,44425.82031,0.815729
11/22/2021,43702.96484,0.789186
11/23/2021,42027.74609,0.774125
11/24/2021,43038.35938,0.797843
11/25/2021,42888.35547,0.775839
11/26/2021,44290.31641,0.78493
11/27/2021,40286.73828,0.704737
11/28/2021,41081.53906,0.710323
11/29/2021,42945.89844,0.726976
11/30/2021,43434.40625,0.744676
12/1/2021,42803.09766,0.750784
12/2/2021,43095.83594,0.746352
12/3/2021,42489.07031,0.731937
12/4/2021,40602.96484,0.69835
12/5/2021,37182.32422,0.639871
12/6/2021,37333.91016,0.609002
12/7/2021,38137.53516,0.625116
12/8/2021,38252.65625,0.617219
12/9/2021,38193.53906,0.652691
12/10/2021,36026.27344,0.651094
12/11/2021,35612.95703,0.604337
12/12/2021,37193.07813,0.632066
12/13/2021,37802,0.63464
12/14/2021,35350.32031,0.592428
12/15/2021,36568.90234,0.613559
12/16/2021,36871.92578,0.62413
12/17/2021,35768.69922,0.604973
12/18/2021,34921.97656,0.603708
12/19/2021,35370.73438,0.62445
12/20/2021,35306.66406,0.6319
12/21/2021,35494.07422,0.665756
12/22/2021,36882.86328,0.714564
12/23/2021,36421.95703,0.71518
12/24/2021,37898.72266,0.742063
12/25/2021,37986.89453,0.681527
12/26/2021,37668.51953,0.691456
12/27/2021,37904.64063,0.687027
12/28/2021,37703.33203,0.689461
12/29/2021,35452.875,0.63506
12/30/2021,34444.51953,0.60599
12/31/2021,34946.84375,0.622103
1/1/2022,34225.12109,0.61433
1/2/2022,35236.96875,0.627751
1/3/2022,34969.46484,0.634149
