Cryptocurrency,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,R,Returns
Bitcoin,21/03/2018,8937.480469,9177.370117,8846.330078,8929.280273,8929.280273,6043129856,4%,0.001773781,0.177378141
Bitcoin,22/03/2018,8939.44043,9100.709961,8564.900391,8728.469727,8728.469727,5530390016,6%,-0.022488996,-2.248899583
Bitcoin,23/03/2018,8736.25,8879.620117,8360.620117,8879.620117,8879.620117,5954120192,6%,0.01731694,1.731694047
Bitcoin,24/03/2018,8901.950195,8996.179688,8665.700195,8668.120117,8668.120117,5664600064,4%,-0.023818587,-2.381858652
Bitcoin,25/03/2018,8612.80957,8682.009766,8449.099609,8495.780273,8495.780273,4569880064,3%,-0.019882032,-1.988203225
Bitcoin,26/03/2018,8498.469727,8530.080078,7921.430176,8209.400391,8209.400391,5921039872,7%,-0.033708485,-3.370848511
Bitcoin,27/03/2018,8200,8232.780273,7797.279785,7833.040039,7833.040039,5378250240,5%,-0.045845048,-4.584504759
Bitcoin,28/03/2018,7836.830078,8122.890137,7809.169922,7954.47998,7954.47998,4935289856,4%,0.015503552,1.550355172
Bitcoin,29/03/2018,7979.069824,7994.330078,7081.379883,7165.700195,7165.700195,6361229824,12%,-0.099161703,-9.916170348
Bitcoin,30/03/2018,7171.450195,7276.660156,6683.930176,6890.52002,6890.52002,6289509888,8%,-0.038402413,-3.840241264
Bitcoin,31/03/2018,6892.47998,7207.850098,6863.52002,6973.529785,6973.529785,4553269760,5%,0.012046952,1.204695225
Bitcoin,01/04/2018,7003.060059,7060.950195,6526.870117,6844.22998,6844.22998,4532100096,8%,-0.018541515,-1.854151465
Bitcoin,02/04/2018,6844.859863,7135.470215,6816.580078,7083.799805,7083.799805,4333440000,5%,0.035003181,3.50031815
Bitcoin,03/04/2018,7102.259766,7530.939941,7072.490234,7456.109863,7456.109863,5499700224,6%,0.052557959,5.255795884
Bitcoin,04/04/2018,7456.410156,7469.879883,6803.879883,6853.839844,6853.839844,4936000000,9%,-0.080775368,-8.07753682
Bitcoin,05/04/2018,6848.649902,6933.819824,6644.799805,6811.470215,6811.470215,5639320064,4%,-0.006181882,-0.618188196
Bitcoin,06/04/2018,6815.959961,6857.490234,6575,6636.319824,6636.319824,3766810112,4%,-0.025714036,-2.571403605
Bitcoin,07/04/2018,6630.509766,7050.540039,6630.509766,6911.089844,6911.089844,3976610048,6%,0.041403975,4.140397492
Bitcoin,08/04/2018,6919.97998,7111.560059,6919.97998,7023.52002,7023.52002,3652499968,3%,0.016268082,1.626808193
Bitcoin,09/04/2018,7044.319824,7178.109863,6661.990234,6770.72998,6770.72998,4894060032,7%,-0.03599193,-3.599192974
Bitcoin,10/04/2018,6795.439941,6872.410156,6704.149902,6834.759766,6834.759766,4272750080,2%,0.009456851,0.945685108
Bitcoin,11/04/2018,6843.470215,6968.319824,6817.589844,6968.319824,6968.319824,4641889792,2%,0.019541295,1.954129526
Bitcoin,12/04/2018,6955.379883,7899.22998,6806.509766,7889.25,7889.25,8906250240,15%,0.132159573,13.21595735
Bitcoin,13/04/2018,7901.089844,8183.959961,7758.930176,7895.959961,7895.959961,7764460032,5%,0.000850519,0.08505195
Bitcoin,14/04/2018,7874.669922,8140.709961,7846,7986.240234,7986.240234,5191430144,4%,0.01143373,1.143372989
Bitcoin,15/04/2018,7999.330078,8338.419922,7999.330078,8329.110352,8329.110352,5244480000,4%,0.042932607,4.293260748
Bitcoin,16/04/2018,8337.570313,8371.150391,7925.72998,8058.669922,8058.669922,5631309824,5%,-0.032469306,-3.246930564
Bitcoin,17/04/2018,8071.660156,8285.959961,7881.720215,7902.089844,7902.089844,6900879872,5%,-0.019430015,-1.943001508
Bitcoin,18/04/2018,7944.430176,8197.799805,7886.009766,8163.419922,8163.419922,6529909760,4%,0.033071008,3.307100821
Bitcoin,19/04/2018,8159.27002,8298.69043,8138.779785,8294.30957,8294.30957,7063209984,2%,0.016033678,1.603367825
Bitcoin,20/04/2018,8286.879883,8880.230469,8244.540039,8845.830078,8845.830078,8438110208,7%,0.066493842,6.649384173
Bitcoin,21/04/2018,8848.790039,8997.570313,8652.150391,8895.580078,8895.580078,7548550144,4%,0.005624119,0.562411889
Bitcoin,22/04/2018,8925.05957,9001.639648,8779.610352,8802.459961,8802.459961,6629899776,2%,-0.010468133,-1.04681332
Bitcoin,23/04/2018,8794.389648,8958.549805,8788.80957,8930.879883,8930.879883,6925190144,2%,0.014589095,1.458909469
Bitcoin,24/04/2018,8934.339844,9732.610352,8927.830078,9697.5,9697.5,10678800384,9%,0.08583926,8.583925965
Bitcoin,25/04/2018,9701.030273,9745.320313,8799.839844,8845.740234,8845.740234,11083100160,10%,-0.087832922,-8.783292247
Bitcoin,26/04/2018,8867.320313,9281.509766,8727.089844,9281.509766,9281.509766,8970559488,6%,0.049263207,4.926320689
Bitcoin,27/04/2018,9290.629883,9375.469727,8987.049805,8987.049805,8987.049805,7566289920,4%,-0.031725438,-3.172543782
Bitcoin,28/04/2018,8939.269531,9412.089844,8931.990234,9348.480469,9348.480469,7805479936,5%,0.040216831,4.02168311
Bitcoin,29/04/2018,9346.410156,9531.490234,9193.709961,9419.080078,9419.080078,8853000192,4%,0.007551988,0.755198769
Bitcoin,30/04/2018,9426.110352,9477.139648,9166.80957,9240.549805,9240.549805,8673920000,3%,-0.018954109,-1.895410931
